,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98934302.43400002
2012-02-03,100786010.43400002
2012-02-06,101641104.43400002
2012-02-07,101467982.43400002
2012-02-08,99865669.43400002
2012-02-09,102856722.43400002
2012-02-10,102839386.43400002
2012-02-13,103734720.43400002
2012-02-14,104100412.43400002
2012-02-15,103445563.43400002
2012-02-16,104741840.43400002
2012-02-17,103983131.43400002
2012-02-20,104201738.43400002
2012-02-21,104156462.43400002
2012-02-22,105166859.43400002
2012-02-23,107191368.43400002
2012-02-24,107795517.43400002
2012-02-27,109332161.43400002
2012-02-28,110007859.43400002
2012-02-29,110201668.434
2012-03-01,108600803.434
2012-03-02,108726567.57500006
2012-03-05,110890199.57500006
2012-03-06,110598147.57500006
2012-03-07,108735405.57500006
2012-03-08,108206075.57500006
2012-03-09,109896532.57500006
2012-03-12,111367958.57500006
2012-03-13,111320766.57500006
2012-03-14,112399127.57500006
2012-03-15,108686852.57500006
2012-03-16,107493377.57500006
2012-03-19,109277464.57500005
2012-03-20,110243204.57500003
2012-03-21,107938103.57500003
2012-03-22,108570119.57500003
2012-03-23,108142944.57500003
2012-03-26,106471740.57500003
2012-03-27,106113173.57500003
2012-03-28,105957033.57500003
2012-03-29,102061118.57500003
2012-03-30,100404905.57500003
2012-04-05,100302064.57500003
2012-04-06,100093317.95400001
2012-04-09,100093317.95400001
2012-04-10,100093317.95400001
2012-04-11,100093317.95400001
2012-04-12,100093317.95400001
2012-04-13,100093317.95400001
2012-04-16,100093317.95400001
2012-04-17,100093317.95400001
2012-04-18,100093317.95400001
2012-04-19,100093317.95400001
2012-04-20,100093317.95400001
2012-04-23,100093317.95400001
2012-04-24,100093317.95400001
2012-04-25,100093317.95400001
2012-04-26,100093317.95400001
2012-04-27,100093317.95400001
2012-05-02,100093317.95400001
2012-05-03,100093317.95400001
2012-05-04,100093317.95400001
2012-05-07,100093317.95400001
2012-05-08,100093317.95400001
2012-05-09,100093317.95400001
2012-05-10,100093317.95400001
2012-05-11,100093317.95400001
2012-05-14,100093317.95400001
2012-05-15,100093317.95400001
2012-05-16,100093317.95400001
2012-05-17,100093317.95400001
2012-05-18,100093317.95400001
2012-05-21,100093317.95400001
2012-05-22,100093317.95400001
2012-05-23,100093317.95400001
