,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98703518.369
2012-02-03,100572096.369
2012-02-06,101642151.369
2012-02-07,102074022.369
2012-02-08,100152985.369
2012-02-09,103233032.369
2012-02-10,103635447.36899999
2012-02-13,103982878.36899999
2012-02-14,104357238.36899997
2012-02-15,104376099.36899997
2012-02-16,106072083.36899997
2012-02-17,105776695.36899997
2012-02-20,105633074.36899997
2012-02-21,105862485.36899997
2012-02-22,106928785.36899997
2012-02-23,109000870.36899999
2012-02-24,109229489.36899999
2012-02-27,111259429.369
2012-02-28,111700679.36900002
2012-02-29,111559787.36900002
2012-03-01,110250385.36900002
2012-03-02,110007317.91100001
2012-03-05,111762297.91100001
2012-03-06,111297183.91100001
2012-03-07,109432589.91100001
2012-03-08,108480911.91100001
2012-03-09,109837626.91100001
2012-03-12,111504334.91100001
2012-03-13,111726339.91100003
2012-03-14,112971806.91100003
2012-03-15,109469401.91100003
2012-03-16,108537804.91100003
2012-03-19,110252869.91100001
2012-03-20,110871180.911
2012-03-21,108721987.911
2012-03-22,109124833.911
2012-03-23,108692953.911
2012-03-26,106994456.911
2012-03-27,107116529.911
2012-03-28,106571794.911
2012-03-29,103293556.911
2012-03-30,101526034.911
2012-04-05,101450415.911
2012-04-06,101179119.29399998
2012-04-09,101179119.29399998
2012-04-10,101179119.29399998
2012-04-11,101179119.29399998
2012-04-12,101179119.29399998
2012-04-13,101179119.29399998
2012-04-16,101179119.29399998
2012-04-17,101179119.29399998
2012-04-18,101179119.29399998
2012-04-19,101179119.29399998
2012-04-20,101179119.29399998
2012-04-23,101179119.29399998
2012-04-24,101179119.29399998
2012-04-25,101179119.29399998
2012-04-26,101179119.29399998
2012-04-27,101179119.29399998
2012-05-02,101179119.29399998
2012-05-03,101179119.29399998
2012-05-04,101179119.29399998
2012-05-07,101179119.29399998
2012-05-08,101179119.29399998
2012-05-09,101179119.29399998
2012-05-10,101179119.29399998
2012-05-11,101179119.29399998
2012-05-14,101179119.29399998
2012-05-15,101179119.29399998
2012-05-16,101179119.29399998
2012-05-17,101179119.29399998
2012-05-18,101179119.29399998
2012-05-21,101179119.29399998
2012-05-22,101179119.29399998
2012-05-23,101179119.29399998
2012-05-24,101179119.29399998
2012-05-25,101179119.29399998
