,value
2012-01-04,100000000.0
2012-01-05,100000000.0
2012-01-06,100000000.0
2012-01-09,100000000.0
2012-01-10,100000000.0
2012-01-11,100000000.0
2012-01-12,100000000.0
2012-01-13,100000000.0
2012-01-16,100000000.0
2012-01-17,100000000.0
2012-01-18,100000000.0
2012-01-19,100000000.0
2012-01-20,100000000.0
2012-01-30,100000000.0
2012-01-31,100000000.0
2012-02-01,100000000.0
2012-02-02,98883687.815
2012-02-03,100664784.81499998
2012-02-06,101729560.81499998
2012-02-07,101982937.81499997
2012-02-08,100153805.81499997
2012-02-09,103012254.81499995
2012-02-10,103481144.81499995
2012-02-13,104361901.81499995
2012-02-14,104629200.81499995
2012-02-15,104477629.81499995
2012-02-16,105809247.81499995
2012-02-17,105406878.81499995
2012-02-20,105383912.81499995
2012-02-21,105378873.81499995
2012-02-22,106687591.81499995
2012-02-23,108995707.81499994
2012-02-24,109488621.81499992
2012-02-27,111466364.81499992
2012-02-28,111633274.81499992
2012-02-29,111625022.81499992
2012-03-01,110064522.81499992
2012-03-02,110121450.34299994
2012-03-05,112522618.34299994
2012-03-06,112364967.34299994
2012-03-07,110997166.34299994
2012-03-08,110190978.34299994
2012-03-09,112044880.34299992
2012-03-12,113435442.34299992
2012-03-13,113251197.34299992
2012-03-14,114365480.34299994
2012-03-15,110272191.34299994
2012-03-16,109403791.34299994
2012-03-19,111286768.34299994
2012-03-20,112027878.34299994
2012-03-21,109870369.34299994
2012-03-22,110240800.34299994
2012-03-23,110002299.34299994
2012-03-26,108015829.34299994
2012-03-27,107618386.34299994
2012-03-28,107396272.34299994
2012-03-29,103969231.34299994
2012-03-30,102583777.34299994
2012-04-05,102856187.34299995
2012-04-06,102552699.30799991
2012-04-09,102552699.30799991
2012-04-10,102552699.30799991
2012-04-11,102552699.30799991
2012-04-12,102552699.30799991
2012-04-13,102552699.30799991
2012-04-16,102552699.30799991
2012-04-17,102552699.30799991
2012-04-18,102552699.30799991
2012-04-19,102552699.30799991
2012-04-20,102552699.30799991
2012-04-23,102552699.30799991
2012-04-24,102552699.30799991
2012-04-25,102552699.30799991
2012-04-26,102552699.30799991
2012-04-27,102552699.30799991
2012-05-02,102552699.30799991
2012-05-03,102552699.30799991
2012-05-04,102552699.30799991
2012-05-07,102552699.30799991
2012-05-08,102552699.30799991
2012-05-09,102552699.30799991
2012-05-10,102552699.30799991
2012-05-11,102552699.30799991
2012-05-14,102552699.30799991
2012-05-15,102552699.30799991
2012-05-16,102552699.30799991
2012-05-17,102552699.30799991
2012-05-18,102552699.30799991
2012-05-21,102552699.30799991
2012-05-22,102552699.30799991
2012-05-23,102552699.30799991
